"State/ UT Name","Foodgrains(cereals) - Rice - 2009-10","Foodgrains(cereals) - Rice - 2010-11","Foodgrains(cereals) - Rice - 2011-12","Foodgrains(cereals) - Rice - 2012-13","Foodgrains(cereals) - Rice - 2013-14","Foodgrains(cereals) - Rice - 2014-15","Foodgrains(cereals) - Rice (Total) - 2015-16","Foodgrains(cereals) - Wheat - 2009-10","Foodgrains(cereals) - Wheat - 2010-11","Foodgrains(cereals) - Wheat - 2011-12","Foodgrains(cereals) - Wheat - 2012-13","Foodgrains(cereals) - Wheat - 2013-14","Foodgrains(cereals) - Wheat (Rabi) - 2014-15","Foodgrains(cereals) - Wheat (Rabi) - 2015-16","Foodgrains(cereals) - Jowar - 2009-10","Foodgrains(cereals) - Jowar - 2010-11","Foodgrains(cereals) - Jowar - 2011-12","Foodgrains(cereals) - Jowar - 2012-13","Foodgrains(cereals) - Jowar - 2013-14","Foodgrains(cereals) - Jowar (Total) - 2014-15","Foodgrains(cereals) - Jowar (Total) - 2015-16","Foodgrains(cereals) - Bajra - 2009-10","Foodgrains(cereals) - Bajra - 2010-11","Foodgrains(cereals) - Bajra - 2011-12","Foodgrains(cereals) - Bajra - 2012-13","Foodgrains(cereals) - Bajra - 2013-14","Foodgrains(cereals) - Bajra (Kharif) - 2014-15","Foodgrains(cereals) - Bajra (Kharif) - 2015-16","Foodgrains(cereals) - Maize - 2009-10","Foodgrains(cereals) - Maize - 2010-11","Foodgrains(cereals) - Maize - 2011-12","Foodgrains(cereals) - Maize - 2012-13","Foodgrains(cereals) - Maize - 2013-14","Foodgrains(cereals) - Maize (Total) - 2014-15","Foodgrains(cereals) - Maize (Total) - 2015-16","Foodgrains(cereals) - Ragi - 2009-10","Foodgrains(cereals) - Ragi - 2010-11","Foodgrains(cereals) - Ragi - 2011-12","Foodgrains(cereals) - Ragi - 2012-13","Foodgrains(cereals) - Ragi - 2013-14","Foodgrains(cereals) - Ragi (Kharif) - 2014-15","Foodgrains(cereals) - Ragi (Kharif) - 2015-16","Foodgrains(cereals) - Small Millets - 2009-10","Foodgrains(cereals) - Small Millets - 2010-11","Foodgrains(cereals) - Small Millets - 2011-12","Foodgrains(cereals) - Small Millets - 2012-13","Foodgrains(cereals) - Small Millets - 2013-14","Foodgrains(cereals) - Small Millets (Kharif) - 2014-15","Foodgrains(cereals) - Small Millets (Kharif) - 2015-16","Foodgrains(cereals) - Barley - 2009-10","Foodgrains(cereals) - Barley - 2010-11","Foodgrains(cereals) - Barley - 2011-12","Foodgrains(cereals) - Barley - 2012-13","Foodgrains(cereals) - Barley - 2013-14","Foodgrains(cereals) - Barley (Rabi) - 2014-15","Foodgrains(cereals) - Barley (Rabi) - 2015-16","Cereals Total - 2009-10","Cereals Total - 2010-11","Cereals Total - 2011-12","Cereals Total - 2012-13","Cereals Total - 2013-14","Coarse Cereals (Total) - 2014-15","Coarse Cereals (Total) - 2015-16","Foodgrains(pulses) - Tur - 2009-10","Foodgrains(pulses) - Tur - 2010-11","Foodgrains(pulses) - Tur - 2011-12","Foodgrains(pulses) - Tur - 2012-13","Foodgrains(pulses) - Tur - 2013-14","Foodgrains(pulses) - Tur (Kharif) - 2014-15","Foodgrains(pulses) - Tur (Kharif) - 2015-16","Foodgrains(pulses) - Gram - 2009-10","Foodgrains(pulses) - Gram - 2010-11","Foodgrains(pulses) - Gram - 2011-12","Foodgrains(pulses) - Gram - 2012-13","Foodgrains(pulses) - Gram - 2013-14","Foodgrains(pulses) - Gram (Rabi) - 2014-15","Foodgrains(pulses) - Gram (Rabi) - 2015-16","Foodgrains(pulses) - Other Pulses - 2009-10","Foodgrains(pulses) - Other Pulses - 2010-11","Foodgrains(pulses) - Other Pulses - 2011-12","Foodgrains(pulses) - Other Pulses - 2012-13","Foodgrains(pulses) - Other Pulses - 2013-14","Foodgrains(pulses) - Other Pulses (Total) - 2014-15","Foodgrains(pulses) - Other Pulses (Total) - 2015-16","Pulses Total - 2009-10","Pulses Total - 2010-11","Pulses Total - 2011-12","Pulses Total - 2012-13","Pulses Total - 2013-14","Pulses Total - 2014-15","Pulses Total - 2015-16","Total Foodgrains - 2009-10","Total Foodgrains - 2010-11","Total Foodgrains - 2011-12","Total Foodgrains - 2012-13","Total Foodgrains - 2013-14","Total Foodgrains - 2014-15","Total Foodgrains - 2015-16","Oilseeds - Groundnuts - 2009-10","Oilseeds - Groundnuts - 2010-11","Oilseeds - Groundnuts - 2011-12","Oilseeds - Groundnuts - 2012-13","Oilseeds - Groundnuts - 2013-14","Oilseeds - Groundnut (Total) - 2014-15","Oilseeds - Groundnut (Total) - 2015-16","Oilseeds - Sesamum - 2009-10","Oilseeds - Sesamum - 2010-11","Oilseeds - Sesamum - 2011-12","Oilseeds - Sesamum - 2012-13","Oilseeds - Sesamum - 2013-14","Oilseeds - Sesamum (Kharif) - 2014-15","Oilseeds - Sesamum (Kharif) - 2015-16","Oilseeds - Rapeseed - 2009-10","Oilseeds - Rapeseed - 2010-11","Oilseeds - Rapeseed - 2011-12","Oilseeds - Rapeseed - 2012-13","Oilseeds - Rapeseed - 2013-14","Oilseeds - Linseed - 2009-10","Oilseeds - Linseed - 2010-11","Oilseeds - Linseed - 2011-12","Oilseeds - Linseed - 2012-13","Oilseeds - Linseed - 2013-14","Oilseeds - Linseed (Rabi) - 2014-15","Oilseeds - Linseed (Rabi) - 2015-16","Oilseeds - Castorseed - 2009-10","Oilseeds - Castorseed - 2010-11","Oilseeds - Castorseed - 2011-12","Oilseeds - Castorseed - 2012-13","Oilseeds - Castorseed - 2013-14","Oilseeds - Castorseed (Kharif) - 2014-15","Oilseeds - Castorseed (Kharif) - 2015-16","Nine Oilseed Total - 2009-10","Nine Oilseed Total - 2010-11","Nine Oilseed Total - 2011-12","Nine Oilseed Total - 2012-13","Nine Oilseed Total - 2013-14","Total Oilseeds (Total) - 2014-15","Total Oilseeds (Total) - 2015-16","Sugarcane - 2009-10","Sugarcane - 2010-11","Sugarcane - 2011-12","Sugarcane - 2012-13","Sugarcane - 2013-14","Sugarcane - 2014-15","Sugarcane - 2015-16","Cotton - 2009-10","Cotton - 2010-11","Cotton - 2011-12","Cotton - 2012-13","Cotton - 2013-14","Cotton - 2014-15","Cotton - 2015-16","Jute - 2009-10","Jute - 2010-11","Jute - 2011-12","Jute - 2012-13","Jute - 2013-14","Jute - 2014-15","Jute - 2015-16","Mesta - 2009-10","Mesta - 2010-11","Mesta - 2011-12","Mesta - 2012-13","Mesta - 2013-14","Mesta - 2014-15","Mesta - 2015-16","Tobacco - 2009-10","Tobacco - 2010-11","Tobacco - 2011-12","Tobacco - 2012-13","Tobacco - 2013-14","Tea - 2009-10","Tea - 2010-11","Tea - 2011-12","Tea - 2012-13","Tea - 2013-14","Tea - 2014-15","Tea (P) - 2015-16","Banana - 2009-10","Banana - 2010-11","Banana - 2011-12","Banana - 2012-13","Banana - 2013-14","Potatoe - 2009-10","Potatoe - 2010-11","Potatoe - 2011-12","Potatoe - 2012-13","Potatoe - 2013-14","Coconut - 2009-10","Coconut - 2010-11","Coconut - 2011-12","Coconut - 2012-13","Coconut - 2013-14","Pepper - 2009-10","Pepper - 2010-11","Pepper - 2011-12","Pepper - 2012-13","Pepper - 2013-14","Chillies - 2009-10","Chillies - 2010-11","Chillies - 2011-12","Chillies - 2012-13","Chillies - 2013-14","Turmeric - 2009-10","Turmeric - 2010-11","Turmeric - 2011-12","Turmeric - 2012-13","Turmeric - 2013-14","Ginger - 2009-10","Ginger - 2010-11","Ginger - 2011-12","Ginger - 2012-13","Ginger - 2013-14","Urad (Total) - 2014-15","Urad (Total) - 2015-16","Moong (Total) - 2014-15","Moong (Total) - 2015-16","Nigerseed (Kharif) - 2014-15","Nigerseed (Kharif) - 2015-16","Soyabean (Kharif) - 2014-15","Soyabean (Kharif) - 2015-16","Sunflower (Total) - 2014-15","Sunflower (Total) - 2015-16","R & M (Rabi) - 2014-15","R & M (Rabi) - 2015-16","Safflower (Rabi) - 2014-15","Safflower (Rabi) - 2015-16","Jute & Mesta - 2014-15","Jute & Mesta - 2015-16"
"Andhra Pradesh","3062.5","3034.7","3148.2","3172.5","2921.2","3022","3466","1000","1300","1375","1250","500","NA","NA","1135.1","1212.6","1601.8","1642.7","1660.8","2016","1691","1177.8","1507.5","1348.8","1656.7","1596.9","1357","1757","3527.5","5317.2","4233.8","4994.9","4833.2","6396","6069","1177.8","1190.5","952.4","1097.6","1045.5","1030","1097","520","966.7","1000","973.7","785.7","700","922","NA","NA","NA","NA","NA","NA","NA","2929","3200","3198","3380","3167.9","4392","3525","438.4","414.8","302.9","524","542.4","503","586","1307.6","1232.9","920.4","1118.9","1438.6","1143","1062","462.3","500.6","638","773.1","728.8","641","554","739.6","675.5","637","832.7","927.6","911","846","2294","2530","2519","2670","2661","2648","2555","773.3","898.9","645.8","829","891.8","564","1035","222.2","208","277.8","313.4","341.2","329","264","500","520","667","500","600","NA","NA","NA","NA","480","NA","NA","432.4","643.6","204.7","502.4","648","563","569","723.9","860.6","650.2","848.9","928.6","557","955","74101.3","77937.5","81794.1","79423.5","80130.2","71849","76328","374","479.5","443.3","520.6","495","588","613","NA","NA","NA","NA","NA","NA","NA","1501.8","1612.8","1398.5","1536","1680","1286","1476","1809","1790","1962","2000","1930.1","NA","NA","NA","NA","NA","NA","NA","349.8","351.3","349.3","NA","350","NA","194","196","NA","200","64.1","NA","89.4","NA","103.2","NA","2","NA","NA","NA","32.9","30","NA","NA","45.8","63.6","62","NA","NA","85.2","44.2","71.9","NA","NA","38.3","946","901","825","646","450","429","2000","1000","800","885","500","1000","1000","NA","1286","1476"
"Arunachal Pradesh","1776.6","1924.8","2064.8","2085.9","2092.4","NA","NA","1504.7","1594.6","1756.8","1498.5","1510.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1379.8","1434.6","1473.1","1436","1467","NA","NA","NA","NA","NA","NA","NA","NA","NA","859.8","925.1","1000","1032.4","1049.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","1577","1691","1799","1802","1824.6","NA","NA","833.3","833.3","878.8","967.6","1000","NA","NA","NA","NA","NA","NA","NA","NA","NA","1108.4","1024.1","1111.1","1130.4","1157.6","NA","NA","1089.9","1055.3","1105.3","1121.9","1149.5","NA","NA","1555","1663","1767","1772","1794.1","NA","NA","800","730","882.4","876.4","949.2","NA","NA","636.4","727.3","805.3","0","818.8","NA","NA","918.9","893.4","985","904.8","936.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","926.8","919.8","1015.4","909.4","957.6","NA","NA","18066.7","19333.3","19354.8","19706.5","19455.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","16.2","NA","NA","NA","NA","NA","NA","NA","26","30","NA","30.6","NA","80","80","NA","NA","NA","64.1","NA","NA","NA","NA","NA","NA","NA","NA","14.2","21.2","NA","NA","17.6","40","47.7","NA","NA","44.7","73.9","77.9","NA","NA","81.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Assam","1737.2","1842.8","1780.2","2061.1","2011.8","2093","2084","1087.3","1178.6","1147","1303.9","1292.4","1217","1167","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","726","722.2","719.2","897","898.1","3333","2560","NA","NA","NA","NA","NA","NA","NA","469.7","511","509.8","494.4","614","603","600","NA","NA","NA","NA","NA","NA","NA","1712","1821","1756","2038","1989.1","2895","2233","709","718.3","714","828.9","920.1","949","833","516.7","500","508.6","557.5","697.6","934","NA","552.7","546.9","571.4","587.9","685.4","NA","747","560.7","554.7","572.7","597.7","695.1","749","684","1662","1763","1704","1962","1916.1","2021","1995","NA","NA","NA","NA","NA","NA","NA","562.5","563","565.9","702","732.5","758","750","525.1","581","560","609.6","605.3","517","521.1","520.2","568.2","642.7","703","667","416.7","422.3","428.6","533.3","511.4","591","1000","525.5","576","557.3","609.9","610.9","670","605","39077.5","36196","38611","35613.4","36972.8","36760","35931","80","#","#","#","#","NA","NA","1971.7","1806.9","1669","1543.1","1849.1","1962","2165","727.2","910.8","916.9","1008.1","1187.4","1006","1125","532","531","528","536","NA","15.5","14.9","NA","NA","20.7","20","21","150.8","150.8","152","NA","168.8","68.1","85.2","88","NA","71.5","53.7","53.7","92.9","NA","46.5","NA","19.8","NA","NA","5.7","6.4","7.4","NA","NA","8.7","7.3","8.3","NA","NA","9.7","NA","71.9","NA","NA","78","648","600","687","643","619","571","NA","NA","NA","NA","667","596","NA","NA","1904","2110"
"Bihar","1120","1095.2","2154.9","2282.4","1758.6","1948","2019","2084","1948","2206","2426.6","2358.4","1851","2205","1040.2","1064.5","1064.4","1072","1065","1068","1068","1108.5","1102","1113.3","1141.5","1136.4","1134","1133","2340.8","2230","2386.3","3611.2","2884","3313","3416","807.7","800","1213.2","1180.1","1015.6","1474","1114","750","762.7","761.1","764.7","754.5","757","759","1121.7","1264.5","1542.5","1460.2","1398.4","1109","1300","1595","1544","2193","2475","2100.4","3236","3337","1514","1403.8","1513.8","2131.2","1667.1","1438","1511","1014.4","1187","1294.6","1402.1","1146.9","958","983","775.6","824.3","902.9","947.4","996.4","930","893","836.6","878.2","975.2","1052.3","1044.2","859","847","1530","1479","2098","2366","2017.8","1964","2135","1750","1000","1024.7","1026.3","1022.5","1023","1000","779.2","777.8","882.4","882.4","872.8","874","871","1007.9","1027.6","1028.7","1131.7","1245","845.9","888.9","865.1","867.1","850","861","855","1000","950","1000","1000","937.5","958","960","1041.9","1048.3","1045.6","1119.7","1189.1","1093","1076","43421.9","51466.1","51713.7","50896.5","49915.8","55179","59024","NA","NA","NA","NA","NA","NA","NA","1638","1641.6","2078.9","2180","2571.1","2694","2439","1706.8","1517","2226.3","2325.3","2746.1","2402","2798","1867","1902","1885","1891","1900.1","4.4","NA","NA","NA","NA","NA","NA","455.7","474.1","494.1","NA","418.4","171.8","184.4","193.7","NA","205.2","NA","NA","65.3","NA","63.8","NA","NA","NA","NA","NA","10.3","10.3","NA","NA","10.3","10","10","NA","NA","10","24.1","15","NA","NA","15","913","895","596","630","NA","NA","NA","NA","1429","1414","1100","1081","804","809","2651","2494"
"Chhattisgarh","1119.8","1663.5","1597.4","1746.2","1766.5","1660","1597","1086.5","1144.4","1226.7","1396.2","1303.5","1388","1270","1255.3","1440.7","759.3","700","631.6","863","824","NA","NA","NA","NA","NA","1000","NA","1399.4","1807.2","1653.8","1935.6","2062.1","1886","1693","265.1","275.9","246.8","280.5","266.7","269","188","182.5","210.7","200","216.4","222.5","232","158","774.2","533.3","750","370.4","1423.1","1304","500","1089","1592","1535","1686","1717","1047","964","510","440","432.5","620","613","637","458","879.9","958.7","995","1069","771.1","1035","722","475.5","491.2","455.6","545.1","464.3","608","635","604.2","624","613.5","700.2","574.4","821","608","1008","1424","1384","1506","1524.5","1475","1395","1352.9","1462.1","1320.4","1379.4","1457","1412","1231","441.2","331.7","378.1","292.6","280.9","455","344","419.5","407.3","435.7","513.9","557.4","300","260.4","371.8","285.3","423.7","397","292","NA","291.7","0","#DIV/0!","NA","0","NA","607.1","686.2","549.8","722.7","640.4","599","501","2354.8","2626.5","2681.3","2763","2600","2665","2618","255","#","#","#","#","NA","NA","NA","NA","NA","NA","NA","NA","NA","321.4","360","385.7","334.3","330","344","345","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","234","238.8","NA","239.9","NA","146.1","141.2","NA","146.8","NA","90","60","NA","100.1","NA","NA","NA","NA","NA","3.4","5","NA","NA","3.3","8.6","8.5","NA","NA","8.5","NA","13.2","NA","NA","11","316","300","262","430","177","160","753","576","0","500","575","517","200","300","344","345"
"Goa","2137.5","2467","2577.3","2679.4","2954.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6000","NA","NA","NA","NA","NA","NA","1000","500","933.3","1040.8","500","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2141","2459","2572","2678","2953.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1075.9","1012.7","800","901.5","1102.5","NA","NA","1082","1057.2","835.5","901.5","1102.5","NA","NA","1990","2264","2272","2361","2659","NA","NA","2806.6","2862.1","2500","2409.4","2544.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2806.6","2862.1","2500","2409.4","2544.4","NA","NA","58111.1","54555.6","50630.4","53871.2","72126.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","125","130","NA","113.2","NA","NA","NA","NA","NA","34.4","34.4","34.2","NA","34.2","2.7","2.6","NA","NA","3.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Gujarat","1902.8","1852.2","2141.1","2198.3","2076.1","2329","2189","2678.8","3155","3014.1","2875","3255.2","2751","2919","1049.1","1112","1121","1337.5","1367.2","1350","1385","1232.1","1250","1419","1742.9","1743","1677","2004","1072.4","1637.3","1523.3","1727.1","1477.2","1652","1478","785.7","700","812.5","1000","1000","800","789","982.8","1117.6","927.5","934.8","1078.9","992","600","NA","NA","NA","NA","NA","NA","NA","1771","2096","2142","2219","2370.4","1585","1632","906","985.6","1053.3","1184.2","995.2","1098","1044","947","1136.4","1137.5","978","1251","1236","1330","450.7","572.1","528.5","515.4","592.7","631","616","705.3","812.4","815","867","896.7","972","890","1560","1843","1874","1970","2096.8","2016","1973","964.3","1863.8","1611.5","589.9","2668.2","2154","1668","355.6","439.4","473.7","257.6","512.7","564","404","1578.7","1565","1572.1","1694.8","1723.4","NA","NA","NA","NA","NA","NA","NA","1973.9","2008.1","2053.5","1988","2054","2036","1870","1108.8","1692.4","1608.1","1103.2","2231.4","1920","1603","80519.5","72421.1","63118.8","72102.3","54793.1","68894","70820","551","671.5","688.7","602.5","685","644","606","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1629","1899","1766","1710","1751.8","NA","NA","NA","NA","NA","NA","NA","610.6","612","622.8","NA","635.4","275.7","289.5","295.8","NA","307.9","67.5","67.6","103.8","NA","64.2","NA","NA","NA","NA","NA","8.9","12.4","NA","NA","15.8","141","147","NA","NA","169.4","21.1","158.8","NA","NA","160.8","691","597","619","514","750","500","754","673","NA","1000","1422","1611","NA","NA","NA","NA"
"Haryana","3008.3","2788.8","3043.7","3272.4","3255.7","3113","3061","4213.5","4624.3","5030","4452.1","4721.9","3981","4407","500","500","507.7","500","555.6","520","528","1593.2","1792.7","2039.9","1910","2056.9","1749","1762","2250","1900","2666.7","2555.6","3000","2250","2833","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3261.9","3486.5","3642.9","3479.2","3923.1","3182","3415","3461","3628","4007","3800","3963.5","1728","1781","1045.5","1080","1111.1","1086.1","1170.2","1098","1000","738.1","982.1","911.4","1127.7","903.6","646","643","576.9","564.1","421.7","605.2","648.7","667","918","757.6","898.5","705.6","800.5","819.5","674","692","3383","3526","3879","3689","3854.6","3427","3665","1000","1000","966.7","1142.9","1107.1","1135","1000","333.3","400","457.1","357.1","538.5","381","382","1655","1869","1396.3","1720.9","1638.7","NA","NA","NA","NA","NA","NA","NA","1250","1200","1000","1500","500","1500","1300","1645.1","1855.2","1394.2","1711.7","1637.2","1456","1608","72094.6","71082.4","73252.6","73633.7","73519.6","73907","70000","645.8","604.7","702.8","692.2","730.1","603","381","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","215.1","221.5","220.7","NA","232.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8.6","95.3","NA","NA","17.4","230","91.7","NA","NA","179.2","110","125.6","NA","NA","127","385","400","492","511","NA","NA","NA","NA","2767","2533","1432","1594","NA","NA","NA","NA"
