Crop,State/ UT Name,Cost of Cultivation (`/Hectare) - A2+FL - 2008-09,Cost of Cultivation (`/Hectare) - A2+FL - 2009-10,Cost of Cultivation (`/Hectare) - A2+FL - 2010-11,Cost of Cultivation (`/Hectare) - A2+FL - 2011-12,Cost of Cultivation (`/Hectare) - A2+FL - 2012-13,Cost of Cultivation (`/Hectare) - A2+FL - 2013-14,Cost of Cultivation(`/Hectare) - C2 - 2008-09,Cost of Cultivation(`/Hectare) - C2 - 2009-10,Cost of Cultivation(`/Hectare) - C2 - 2010-11,Cost of Cultivation(`/Hectare) - C2 - 2011-12,Cost of Cultivation (`/Hectare) - C2 - 2012-13,Cost of Cultivation (`/Hectare) - C2 - 2013-14,Cost of Production (`/Quintal) - C2 - 2008-09,Cost of Production (`/Quintal) - C2 - 2009-10,Cost of Production (`/Quintal) - C2 - 2010-11,Cost of Production (`/Quintal) - C2 - 2011-12,Cost of Production (`/Quintal) - C2 - 2012-13,Cost of Production (`/Quintal) - C2 - 2013-14
Paddy,Andhra Pradesh,29664.84,35104.8,35090.78,37946.69,42669.85,46781.05,46450.2,54202.54,51505.34,58027.19,68149.69,72417.05,789.9,932.5,916.98,976.36,1135.01,1248.2
Paddy,Odisha,17478.05,19175.75,21894.98,27243.15,31723.25,35569.85,25909.05,28143.88,30318.4,35972.5,44091.78,46839.15,715.04,793.65,955.59,1221.44,1159.54,1408.4
Paddy,Punjab,25154.75,29031.73,30793.25,31248.72,37103.96,39686.81,45291.24,50650.21,51279.34,53813.93,64811.36,68382.86,669.86,773.18,836.46,904.3,945.73,1043.27
Paddy,Uttar Pradesh,17022,21336.61,21281.3,28147.45,29436.98,30982.85,28144.5,32327.78,32299.35,40146.68,43620.87,45617.43,732.62,812.97,806.87,957.83,1019.43,1031.23
Paddy,West Bengal,24731.06,28101.85,32872.72,37959.78,42770.22,45783.94,33046.12,38111.55,43019.85,49142.99,55982.79,60924.19,731.25,865.12,1022.83,1085.76,1236.05,1366.8
Wheat,Haryana,20063.32,22382.77,22943.95,27745.15,31895.91,34595.63,37450.75,41692.91,42323.07,51170.51,54067.45,60738.72,716.55,832.45,773.05,850.66,1047.78,1051.61
Wheat,Madhya Pradesh,12464.4,13355.12,15504.33,17871.12,20973.23,21784.93,22489.75,24217.75,27532.33,33396.15,37119.94,37655.11,810.25,808.48,834.21,851.95,958.95,1078.96
Wheat,Punjab,17945.58,20222.99,23063.23,25711.09,26559.35,30219.61,35423.48,38282.74,42983.98,49298.84,49518.78,55202.93,804.8,816.89,871.74,888.55,981.21,970.47
Wheat,Rajasthan,19119.08,20276.87,19595.57,26920.58,30345.62,33958.67,29876.36,31794.11,31630.89,40286.2,46942.45,53014.68,683.58,709.16,666.87,825.94,920.63,1036.32
Wheat,Uttar Pradesh,18979.38,20776.26,22306.96,26001.27,28062.1,30207.17,31902.74,33574.7,35984.44,42383.57,44383.07,46415.97,769.84,832.96,803.68,930.55,1058.98,1074.57
Maize,Andhra Pradesh,25687.09,26735.73,31080.06,27975.52,34990.18,40287.38,37801.85,38564.55,46228.5,44038.14,54929.2,62171.86,840.58,831.69,866.46,891.54,1095.82,1302.75
Maize,Bihar,13513.92,16478.91,16911.51,20352.35,22315.92,23938.93,19857.7,21727.92,23251.28,27640.99,29413.36,31831.53,404.43,541.8,517.36,754.13,785.93,1031.69
Maize,Karnataka,13792.85,14452.24,17945.68,24790.33,26681.99,31683.49,20671.54,20779.06,25946.48,36272.45,37983.2,43541.86,581.69,666.17,692.08,901.33,1249.37,1062.62
Maize,Rajasthan,14421.46,18142.09,20407.05,22231.04,29439.66,35709.02,19810.29,24170.84,26344.13,27539.49,37008.69,42862.28,658.77,1089.69,902.46,1137.58,1271.73,1904.7
Maize,Uttar Pradesh,15635.43,17832.72,14413.67,18127.16,21750.82,24354.13,21045.11,26822.77,21141.46,26461.18,31987.34,36670.76,1387.36,1308.53,966.35,1256.93,1453.77,1636.08
Gram,Andhra Pradesh,14421.98,17538.33,20057.82,16976.79,21975.88,25733.99,26762.09,25110.13,27009.25,28608.56,37544.9,38573.69,1559.04,1960.63,1975.95,3727.88,2985.37,3094.22
Gram,Madhya Pradesh,9803.89,10978.24,11447.59,16280.13,19629.37,19538.39,NA,18468.11,18657.75,29948.11,31634.35,28298.52,1551.94,1530.3,1728.81,2434.9,2714.67,2946.02
Gram,Maharashtra,12985.95,12754.89,14854.05,21775.53,25153.54,27729.72,18679.33,18517.76,21066.61,31554.14,34969.7,38595.38,2277.68,2064.82,2095.84,2892.72,2964.75,2776.56
Gram,Rajasthan,8552.69,9574.15,9239.09,14068.57,17168.68,16334.1,12610.85,14386.16,14646.41,22226.27,25768.76,24904.73,1691.66,1774.28,1515.53,2600.39,2392.52,2191.97
Gram,Uttar Pradesh,12833.04,11782.6,15699.33,18846.89,19541.68,18693.11,21618.43,19709.15,26111.52,30746.91,30759.07,26344.59,1882.68,2022.28,1933.6,2452.04,3048.41,5205.84
Arhar,Andhra Pradesh,17051.66,16519.59,16551.29,20210.01,24171.38,28078.33,24171.65,30960.04,24794.18,33439.35,34562.24,39446.75,3670.54,3149.79,4359.32,3184.5,4483.98,4701.06
Arhar,Gujarat,13468.82,15186.15,16794.13,20850.78,19523.93,22179.76,19551.9,22927.11,23649.18,27780.68,25431.37,30202.7,1898.3,3460.69,2033.24,3095.78,3746.87,3889.45
Arhar,Karnataka,10593.15,11974.66,15502.48,16067.6,19493.77,21010.5,16528.68,19420,22646.03,26052.49,28125.65,32684.74,2172.46,2646.26,3026.18,2642.58,3101.5,3058.02
Arhar,Maharashtra,17130.55,25763.42,32977.66,32482.97,41968.04,44480.91,25270.26,40308.28,44650.4,46445.03,58795.49,63071.76,2775.8,2435.77,3657.08,3138.74,3101.81,2982.01
Arhar,Uttar Pradesh,9794.05,10036.52,11998.49,16492.08,25324.93,22397.65,23076.74,23644.63,24681.41,30354.34,42500.53,42211.08,1941.55,4170.24,2844.81,2945.32,4104.7,4750.66
Moong,Andhra Pradesh,6684.18,7351.56,7906.38,10692.69,13694.73,15317.86,13209.32,12624.29,12787.6,20669.87,20890.82,26795.33,2228.97,4013.56,3029.63,2855.81,4607.75,4327.74
Moong,Karnataka,6440.64,6975.16,8635.72,9914.17,12191.27,16006.92,7868.64,9958.79,11575.35,14007.79,16914.28,22143.16,5777.48,3683.08,3946.43,4101.71,4437.37,3699.01
Moong,Maharashtra,10780.76,13697.82,19206.96,20853.94,26991.01,25997.23,15371.45,19210.54,24524.63,26008.25,35204.77,30942.16,2261.24,3095.42,3762.02,5072.1,4761.73,7816.61
Moong,Odisha,5483.54,6776.6,7686.21,9285.83,10967.69,11569.55,8266.98,11329.74,11560.04,13352.63,15277.87,16749.8,2614.14,3415.17,3758,4008.04,4855.53,5183.34
Moong,Rajasthan,6204.23,6566.81,10761.18,13622.11,14298.75,13679.41,9165.59,9597.52,14347.47,17243.8,18252.97,18121.98,2068.67,5035.39,2678.85,3598.21,5638.58,5989.18
Groundnut,Andhra Pradesh,21229.01,24771.12,34822.15,40676.21,49003.18,51099,30434.61,35699.44,52622.39,65632.13,82034.41,72766.7,2554.91,2537.04,2564.73,3714.44,3681.36,4045.91
Groundnut,Gujarat,22951.28,23652.41,24913.47,32905.07,38139.75,45410.44,30114.45,31053,33907.63,42836.57,48014.65,59846.77,1918.92,2489.61,2036.06,2916.12,4904.58,2859.24
Groundnut,Karnataka,13647.1,13947.36,17307.36,26873.17,30943.87,29477.47,17314.2,19046.88,23374.3,35575.79,41102.31,38980.28,3484.01,2551.35,4172.88,4429.03,5397.78,3805.07
Groundnut,Maharashtra,26078.66,23563.94,29548.34,44078.89,45613.01,44127.23,32683.46,32685.46,41448.5,55664.05,63610.79,56900.39,3207.35,1753.36,2188.33,4094.39,3022.92,4265.35
Groundnut,Tamil Nadu,22507.86,25244.64,30103.17,37888.68,49209.47,59102.3,30393.66,33112.7,38249.59,47915.18,60949.53,73352.04,2358,2672.92,2631.91,3270.77,3892.73,4135.55
Rapeseed And Mustard,Gujarat,13740.64,15175.53,16659.48,17923.91,20310.55,26043.66,19083.55,22743.47,25410.16,30804.92,30352.12,38209.57,1610.4,1416.38,1359.44,1779.16,2040.49,2122.38
Rapeseed And Mustard,Haryana,14715.27,16573.39,14120.12,18439.97,23057.07,27149.3,27507.54,30753.93,29583.16,41935.26,45678.6,46916.04,1251.12,1555.52,1305.96,2045.9,2720.84,2566.65
Rapeseed And Mustard,Madhya Pradesh,8686.43,9341.63,10554.61,15084.43,16618.33,17513,17705.93,18682.26,22649.54,28892.26,32829.58,32182.5,1279.6,1361.6,1340.27,1960.58,1990.33,1907.18
Rapeseed And Mustard,Rajasthan,11385.7,11703.04,11767.67,16846.85,20205.85,22322.89,19259.84,20807.48,20829.25,28041.38,31256.29,33142.03,1341.29,1357.13,1238.71,2238.94,2356.58,2395.48
Rapeseed And Mustard,Uttar Pradesh,12774.41,12183.16,13667.83,17560.2,21030.03,23601.05,22560.3,24408.12,26766.64,31252.97,35731.08,39658.1,1595.56,1482.13,1569.88,2694.2,2567.39,2862.76
Cotton,Andhra Pradesh,29140.77,27204.15,28861.62,38772.5,50948.24,56853.57,44756.72,42919.36,49401.41,61634,70609.51,83491.53,2509.99,2406.53,3305.52,3557.48,4088.93,4252.82
Cotton,Gujarat,29616.09,29559.06,34552,41468.38,41873.4,50667.14,42070.44,42295.36,53725.77,58037.88,54769.45,70673.49,2179.26,2225.45,2414.76,3267.52,4346.97,3344.53
Cotton,Haryana,29918.97,31895.29,29345.24,38803.42,43798.59,47538.8,44018.18,48920.33,46815.11,62329.97,67129.55,69750.63,2127.35,2413.61,2800.54,3229.48,3795.99,4182.82
Cotton,Maharashtra,23711.44,26407.55,38359.33,45743.38,54030.37,55242.69,33116.82,35822.07,52583.55,61907.49,71079.73,73232.07,2539.47,2671.66,3603.2,3985.05,4120.27,4036.48
Cotton,Punjab,29047.1,30055.9,31178.78,41380.69,46363.91,47485.07,50828.83,53071.62,59282.06,66697.56,73475.32,74406.8,2003.76,2354,2947.32,3759.44,3744.83,4073.29
Sugarcane,Andhra Pradesh,56621.16,61278.53,76696.87,78442.1,61322.72,54421.18,91442.63,103157.5,127319,124488.9,92530.18,106155.54,119.72,130.27,149.75,183.49,161.82,147.94
Sugarcane,Karnataka,55655.44,36366.67,49183.9,59069.94,54027.16,72160.4,86765.77,87597.81,86276.15,94585.62,97193.91,113950.26,86.53,133.25,93.02,122.96,130.74,130.74
Sugarcane,Maharashtra,57673.6,74221.59,87114.96,102289.82,113941.55,122361.74,85801.95,127304.6,128996.6,146726.7,167008.63,170931,107.56,121.23,124.41,138.64,152.59,152.53
Sugarcane,Tamil Nadu,66335.06,72426.99,89583.62,105074.87,123842.79,120757.83,89025.27,97335.86,113058.6,133840.6,158319.18,160072.5,85.79,100,110.55,128.45,150.22,163.76
Sugarcane,Uttar Pradesh,24538.32,28398.06,38327.1,43129.23,51047.9,47953.83,45239.51,56283.73,66799.17,78549.41,88650.3,86125.78,93.64,105.56,124.3,141.13,158.21,165.24
